STATION,NAME,DATE,PRCP,TMAX,TMIN
VMM00048855,"DANANG INTERNATIONAL, VM",1/1/2003,0.17,26,20
VMM00048855,"DANANG INTERNATIONAL, VM",1/2/2003,0.03,27, 
VMM00048855,"DANANG INTERNATIONAL, VM",1/3/2003,0.1,24, 
VMM00048855,"DANANG INTERNATIONAL, VM",1/4/2003,0.21,21, 
VMM00048855,"DANANG INTERNATIONAL, VM",1/5/2003,0.31,23, 
VMM00048855,"DANANG INTERNATIONAL, VM",1/6/2003,0,22, 
VMM00048855,"DANANG INTERNATIONAL, VM",1/7/2003,0,20, 
VMM00048855,"DANANG INTERNATIONAL, VM",1/8/2003,0, , 
VMM00048855,"DANANG INTERNATIONAL, VM",1/9/2003,0,24, 
VMM00048855,"DANANG INTERNATIONAL, VM",1/10/2003,0.01,24, 
VMM00048855,"DANANG INTERNATIONAL, VM",1/11/2003,0,23, 
VMM00048855,"DANANG INTERNATIONAL, VM",1/12/2003,0, , 
VMM00048855,"DANANG INTERNATIONAL, VM",1/13/2003,0,23, 
VMM00048855,"DANANG INTERNATIONAL, VM",1/14/2003,0,24,17
VMM00048855,"DANANG INTERNATIONAL, VM",1/15/2003,0.02,23, 
VMM00048855,"DANANG INTERNATIONAL, VM",1/16/2003,0.01,25, 
VMM00048855,"DANANG INTERNATIONAL, VM",1/17/2003,0,24, 
VMM00048855,"DANANG INTERNATIONAL, VM",1/18/2003,0,25, 
VMM00048855,"DANANG INTERNATIONAL, VM",1/19/2003,0,25, 
VMM00048855,"DANANG INTERNATIONAL, VM",1/20/2003,0,26, 
VMM00048855,"DANANG INTERNATIONAL, VM",1/21/2003,0,27,17
VMM00048855,"DANANG INTERNATIONAL, VM",1/22/2003,0,28,17
VMM00048855,"DANANG INTERNATIONAL, VM",1/23/2003,0,27,19
VMM00048855,"DANANG INTERNATIONAL, VM",1/24/2003,0,27, 
VMM00048855,"DANANG INTERNATIONAL, VM",1/25/2003,0,28, 
VMM00048855,"DANANG INTERNATIONAL, VM",1/26/2003,0,28,20
VMM00048855,"DANANG INTERNATIONAL, VM",1/27/2003,0,27, 
VMM00048855,"DANANG INTERNATIONAL, VM",1/28/2003,0,22, 
VMM00048855,"DANANG INTERNATIONAL, VM",1/29/2003,0,23, 
VMM00048855,"DANANG INTERNATIONAL, VM",1/30/2003,0,25,18
VMM00048855,"DANANG INTERNATIONAL, VM",1/31/2003,0.01,28,21
VMM00048855,"DANANG INTERNATIONAL, VM",2/1/2003,0.02,26, 
VMM00048855,"DANANG INTERNATIONAL, VM",2/2/2003,0,26, 
VMM00048855,"DANANG INTERNATIONAL, VM",2/3/2003,0.07,26,20
VMM00048855,"DANANG INTERNATIONAL, VM",2/4/2003,0.03,24, 
VMM00048855,"DANANG INTERNATIONAL, VM",2/5/2003,0.63,23, 
